surface,method,path,auth_state,expected_roles,parameters_or_body,csrf_or_headers,content_boundary,owasp,status,source,notes
Browser,GET,/,Public or session redirect,Anonymous/full users,None,CSP/security headers,No transcript content,A05 A07 A09,Repo-evidenced,README.md docs/auth.md,Anonymous sees splash; signed-in redirects by session state.
Browser,GET,/login,Public,Anonymous,None,Anonymous CSRF form on unsafe submit,No transcript content,A03 A05 A07,Repo-evidenced,README.md docs/auth.md,Login/bootstrap page.
Browser,GET,/request-access,Public,Anonymous,None,Anonymous CSRF form on unsafe submit,No transcript content,A03 A05 A07 A09,Repo-evidenced,README.md docs/auth.md,Public account request form.
Browser,GET,/forgot-password,Public when mail enabled,Anonymous,None,Anonymous CSRF form on unsafe submit,No transcript content,A07 A09,Repo-evidenced,docs/auth.md,Hidden/disabled when mail transport unavailable.
Browser,GET,/reset-password,Public token flow,Anonymous with token,token,Anonymous CSRF form on unsafe submit,No transcript content,A07 A09,Repo-evidenced,docs/auth.md,Token plaintext must not be logged or stored.
Browser,GET,/activate-account,Public token flow,Anonymous with token,token,Anonymous CSRF form on unsafe submit,No transcript content,A07 A09,Repo-evidenced,docs/auth.md,First account setup then onboarding.
Browser,GET,/onboarding,Onboarding session,Onboarding-only user,None,Session cookie + CSRF for unsafe actions,No transcript content,A01 A07,Repo-evidenced,README.md docs/auth.md,Normal app routes blocked until onboarding complete.
Browser,GET,/mfa/challenge,Pending-MFA session,Pending-MFA user,None,Session cookie + CSRF for unsafe actions,No transcript content,A01 A07,Repo-evidenced,README.md docs/auth.md,Normal app routes blocked until TOTP success.
Browser,GET,/home,Full session,Normal user/team leader,None,Session cookie,Metadata/home only,A01 A05,Repo-evidenced,README.md docs/auth.md,User landing page.
Browser,GET,/transcribe,Full session,Normal user/team leader owner,None,Session cookie + no-store sensitive API responses,Owner-only transcript-derived content,A01 A02 A03 A09,Repo-evidenced,README.md docs/api.md,Main transcription workspace.
Browser,GET,/admin,Full session,System admin,None,Session cookie + CSRF for unsafe actions,Metadata/config only by default,A01 A05 A09,Repo-evidenced,README.md docs/auth.md,System admin UI.
Browser,POST,/logout,Session-aware,Any session,None,CSRF/session cookie,No transcript content,A07,Repo-evidenced,README.md docs/auth.md,Clears session/trusted-device/CSRF cookies.
API,POST,/api/v1/auth/login,Public,Anonymous,email password,No CSRF when no cookie authority,No transcript content,A03 A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Rate limited 5 per 5 minutes per IP.
API,POST,/api/v1/auth/mfa/totp,Pending-MFA,Pending-MFA user,TOTP code remember flag,Session CSRF/origin when cookie authority present,No transcript content,A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Rate limited 10 per 10 minutes per IP.
API,POST,/api/v1/auth/logout,Public/session-aware,Any session,None,CSRF/origin when cookie authority present,No transcript content,A07,Repo-evidenced,docs/api.md docs/auth.md,Explicit public allowlist route.
API,POST,/api/v1/auth/password-reset/request,Public,Anonymous,email,No CSRF when no cookie authority,No transcript content,A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Generic success; 503 when mail disabled.
API,POST,/api/v1/auth/password-reset/confirm,Public token flow,Anonymous token holder,token password,No CSRF when no cookie authority,No transcript content,A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Revokes sessions and trusted devices; no DEK rotation.
API,POST,/api/v1/auth/account-activation/confirm,Public token flow,Anonymous token holder,token password,No CSRF when no cookie authority,No transcript content,A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Forces onboarding/TOTP before full access.
API,GET,/api/v1/auth/me,Partial or full session,Onboarding pending-MFA full,None,Session cookie,Metadata only,A01 A07,Repo-evidenced,docs/api.md docs/auth.md,Allowed for partial sessions.
API,GET,/api/v1/auth/trusted-device,Pending-MFA/full session,Pending-MFA full,None,Session cookie,Metadata only,A07,Repo-evidenced,docs/api.md docs/auth.md,Trusted device does not authenticate by itself.
API,POST,/api/v1/account-requests,Public,Anonymous,name email team details,No CSRF when no cookie authority,No transcript content,A03 A05 A07 A09,Repo-evidenced,docs/api.md docs/auth.md,Rate limited 3 per hour per IP.
API,GET,/api/v1/account-requests,Full manager,System admin/team leader,None,Session cookie,Metadata only,A01 A09,Repo-evidenced,docs/api.md docs/auth.md,Leader scope restricted to own team.
API,POST,/api/v1/account-requests/{request_id}/approve,Full manager,System admin/team leader,request_id review fields,Session CSRF/origin,Metadata only,A01 A09,Repo-evidenced,docs/api.md docs/auth.md,Creates managed user account.
API,POST,/api/v1/account-requests/{request_id}/reject,Full manager,System admin/team leader,request_id notes,Session CSRF/origin,Metadata only,A01 A09,Repo-evidenced,docs/api.md docs/auth.md,Review notes must avoid transcript content.
API,POST,/api/v1/onboarding/password,Onboarding session,Onboarding-only user,new password,Session CSRF/origin,No transcript content,A07,Repo-evidenced,docs/api.md docs/auth.md,Password hash Argon2id.
API,POST,/api/v1/onboarding/totp/start,Onboarding session,Onboarding-only user,None,Session CSRF/origin,TOTP secret one-time setup material,A02 A07,Repo-evidenced,docs/api.md docs/auth.md,Requires careful screenshot redaction.
API,POST,/api/v1/onboarding/totp/verify,Onboarding session,Onboarding-only user,TOTP code,Session CSRF/origin,No transcript content,A07,Repo-evidenced,docs/api.md docs/auth.md,Moves toward full access.
API,POST,/api/v1/onboarding/recovery-codes,Onboarding session,Onboarding-only user,None,Session CSRF/origin,One-time recovery codes,A02 A07,Repo-evidenced,docs/api.md docs/auth.md,Codes stored hashed only.
